接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,D0:4D:C6:F2:8F:20,"Aruba, a Hewlett Packard Enterprise Company",-69 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.603125,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 10% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,76,802.11ax,2,,4x4,
eduroam,D0:4D:C6:F2:8F:30,"Aruba, a Hewlett Packard Enterprise Company",-69 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","12 Stations, 3% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,连接接入点,40 MHz,76,802.11ax,12,,4x4,
eduroam,1C:28:AF:65:F5:40,"Aruba, a Hewlett Packard Enterprise Company",-77 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.603113426,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 47% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,54,802.11ax,2,,4x4,
eduroam,D0:4D:C6:F2:BC:50,"Aruba, a Hewlett Packard Enterprise Company",-77 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 22% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,54,802.11ax,7,,4x4,
eduroam,D0:4D:C6:F3:07:F0,"Aruba, a Hewlett Packard Enterprise Company",-78 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 3% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,51,802.11ax,7,,4x4,
eduroam,1C:28:AF:65:F5:50,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","13 Stations, 60% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,45,802.11ax,13,,4x4,
eduroam,1C:28:AF:66:03:B0,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","19 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,45,802.11ax,19,,4x4,
eduroam,1C:28:AF:65:FF:E0,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.603125,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 50% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,45,802.11ax,0,,4x4,
eduroam,D0:4D:C6:F2:4D:20,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.603125,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 19% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,45,802.11ax,1,,4x4,
eduroam,D0:4D:C6:F2:BD:D0,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 14% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,45,802.11ax,7,,4x4,
