接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,D0:4D:C6:F3:14:50,"Aruba, a Hewlett Packard Enterprise Company",-53 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,5.0 GHz,0.61849537,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","9 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,连接接入点,40 MHz,86,802.11ax,9,,4x4
eduroam,D0:4D:C6:F3:14:40,"Aruba, a Hewlett Packard Enterprise Company",-59 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 13% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,82,802.11ax,2,,4x4
eduroam,1C:28:AF:62:05:E0,"Aruba, a Hewlett Packard Enterprise Company",-74 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 7% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,63,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:F9:E0,"Aruba, a Hewlett Packard Enterprise Company",-75 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 21% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,60,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:50:40,"Aruba, a Hewlett Packard Enterprise Company",-78 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 28% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,51,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:BD:C0,"Aruba, a Hewlett Packard Enterprise Company",-79 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 33% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,48,802.11ax,1,,4x4
eduroam,D0:4D:C6:F2:F9:F0,"Aruba, a Hewlett Packard Enterprise Company",-79 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,5.0 GHz,0.61849537,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","21 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,48,802.11ax,21,,4x4
eduroam,D0:4D:C6:F2:4D:20,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","4 Stations, 19% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,45,802.11ax,4,,4x4
eduroam,D0:4D:C6:F2:4D:30,"Aruba, a Hewlett Packard Enterprise Company",-80 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,5.0 GHz,0.61849537,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","19 Stations, 9% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,45,802.11ax,19,,4x4
eduroam,1C:28:AF:62:05:F0,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 112 [5.560 GHz] + Ch 108,5.0 GHz,0.61849537,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","0 Stations, 1% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,42,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:BC:40,"Aruba, a Hewlett Packard Enterprise Company",-83 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.61849537,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 11% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,36,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:BF:40,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.626342593,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 32% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,33,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:BD:D0,"Aruba, a Hewlett Packard Enterprise Company",-85 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,5.0 GHz,0.61849537,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 17% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,30,802.11ax,7,,4x4
