接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,D0:4D:C6:F2:9F:10,"Aruba, a Hewlett Packard Enterprise Company",-54 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,5.0 GHz,0.635034722,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","14 Stations, 9% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,连接接入点,40 MHz,85,802.11ax,14,,4x4
eduroam,D0:4D:C6:F2:9F:00,"Aruba, a Hewlett Packard Enterprise Company",-58 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 21% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,83,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:45:C0,"Aruba, a Hewlett Packard Enterprise Company",-64 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 8% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"9, 13",,20 MHz,79,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:B9:C0,"Aruba, a Hewlett Packard Enterprise Company",-66 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 13% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"9, 13",,20 MHz,78,802.11ax,1,,4x4
eduroam,D0:4D:C6:F2:9A:60,"Aruba, a Hewlett Packard Enterprise Company",-66 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 35% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,78,802.11ax,1,,4x4
eduroam,D0:4D:C6:F2:45:D0,"Aruba, a Hewlett Packard Enterprise Company",-68 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.635092593,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","29 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,77,802.11ax,29,,4x4
eduroam,D0:4D:C6:F3:09:C0,"Aruba, a Hewlett Packard Enterprise Company",-70 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","3 Stations, 10% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"9, 13",,20 MHz,75,802.11ax,3,,4x4
eduroam,D0:4D:C6:F2:A2:B0,"Aruba, a Hewlett Packard Enterprise Company",-70 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,5.0 GHz,0.635150463,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","2 Stations, 4% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,75,802.11ax,2,,4x4
eduroam,D0:4D:C6:F2:A2:A0,"Aruba, a Hewlett Packard Enterprise Company",-71 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.635034722,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 23% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"9, 13",,20 MHz,72,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:F2:00,"Aruba, a Hewlett Packard Enterprise Company",-72 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.635092593,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 15% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"9, 13",,20 MHz,69,802.11ax,1,,4x4
