接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,D0:4D:C6:F2:4D:00,"Aruba, a Hewlett Packard Enterprise Company",-63 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 9% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,80,802.11ax,2,,4x4
eduroam,D0:4D:C6:F2:8D:E0,"Aruba, a Hewlett Packard Enterprise Company",-68 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 23% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,77,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:8F:20,"Aruba, a Hewlett Packard Enterprise Company",-69 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","3 Stations, 11% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"4, 8",,20 MHz,76,802.11ax,3,,4x4
eduroam,D0:4D:C6:F2:50:40,"Aruba, a Hewlett Packard Enterprise Company",-70 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 22% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,75,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:4D:10,"Aruba, a Hewlett Packard Enterprise Company",-70 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,5.0 GHz,0.639502315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","6 Stations, 35% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,连接接入点,40 MHz,75,802.11ax,6,,4x4
eduroam,D0:4D:C6:F3:01:A0,"Aruba, a Hewlett Packard Enterprise Company",-71 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,72,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:8D:F0,"Aruba, a Hewlett Packard Enterprise Company",-72 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.639502315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","17 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,69,802.11ax,17,,4x4
eduroam,D0:4D:C6:F2:4D:20,"Aruba, a Hewlett Packard Enterprise Company",-77 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","4 Stations, 16% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"4, 8",,20 MHz,54,802.11ax,4,,4x4
eduroam,D0:4D:C6:F2:C5:E0,"Aruba, a Hewlett Packard Enterprise Company",-77 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 30% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,54,802.11ax,2,,4x4
eduroam,D0:4D:C6:F2:4D:30,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,5.0 GHz,0.639502315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","17 Stations, 10% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,42,802.11ax,17,,4x4
eduroam,D0:4D:C6:F2:50:50,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,5.0 GHz,0.639502315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","21 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,42,802.11ax,21,,4x4
eduroam,D0:4D:C6:F3:01:B0,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.639560185,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","0 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,42,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:C3:C0,"Aruba, a Hewlett Packard Enterprise Company",-81 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.639675926,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 23% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"4, 8",,20 MHz,42,802.11ax,1,,4x4
eduroam,D0:4D:C6:F2:F9:E0,"Aruba, a Hewlett Packard Enterprise Company",-82 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.639733796,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 40% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,39,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:C5:F0,"Aruba, a Hewlett Packard Enterprise Company",-83 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,5.0 GHz,0.639502315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","15 Stations, 18% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,36,802.11ax,15,,4x4
eduroam,D0:4D:C6:F2:8F:30,"Aruba, a Hewlett Packard Enterprise Company",-83 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,5.0 GHz,0.639618056,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","18 Stations, 7% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,36,802.11ax,18,,4x4
eduroam,D0:4D:C6:F2:B9:E0,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.639675926,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 28% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,33,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:B5:40,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 1 [2.412 GHz],2.4 GHz,0.639976852,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 22% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,3,,20 MHz,33,802.11ax,1,,4x4
eduroam,D0:4D:C6:F2:DB:80,"Aruba, a Hewlett Packard Enterprise Company",-86 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.639502315,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 21% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,"4, 8",,20 MHz,27,802.11ax,0,,4x4
eduroam,D0:4D:C6:F2:C3:D0,"Aruba, a Hewlett Packard Enterprise Company",-86 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,5.0 GHz,0.639618056,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 41% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,27,802.11ax,7,,4x4
eduroam,D0:4D:C6:F2:B5:50,"Aruba, a Hewlett Packard Enterprise Company",-90 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,5.0 GHz,0.639733796,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","28 Stations, 7% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,15,802.11ax,28,,4x4
eduroam,D0:4D:C6:F2:DB:90,"Aruba, a Hewlett Packard Enterprise Company",-92 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,5.0 GHz,0.639733796,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","4 Stations, 7% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,9,802.11ax,4,,4x4
eduroam,D0:4D:C6:F2:8D:D0,"Aruba, a Hewlett Packard Enterprise Company",-92 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,5.0 GHz,0.639791667,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","2 Stations, 8% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,9,802.11ax,2,,4x4
eduroam,D0:4D:C6:F2:7B:F0,"Aruba, a Hewlett Packard Enterprise Company",-93 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,5.0 GHz,0.639560185,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","23 Stations, 15% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,6,802.11ax,23,,4x4
eduroam,D0:4D:C6:F2:B9:F0,"Aruba, a Hewlett Packard Enterprise Company",-93 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,5.0 GHz,0.639560185,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","11 Stations, 39% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,6,802.11ax,11,,4x4
eduroam,D0:4D:C6:F2:F9:F0,"Aruba, a Hewlett Packard Enterprise Company",-94 dBm,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,5.0 GHz,0.639560185,0:00:05 以前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","23 Stations, 21% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,3,802.11ax,23,,4x4
eduroam,D0:4D:C6:F2:4E:D0,"Aruba, a Hewlett Packard Enterprise Company",,,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,5.0 GHz,0.639560185,0:00:15 以前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","2 Stations, 3% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,12,802.11ax,2,,4x4
