Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT-QPDESKTOP-2LM1S1BmsHX,16:f6:d8:d4:aa:b2,,-89 dBm,WPA2 PSK [CCMP],,Infrastructure & WPS,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,866.5,,,45,36,30,24,18,15,12,9, 6 Mbps;Microsoft, HP ZBook Studio x360 G5, 10.0.22621, DESKTOP-2LM1S1B;en0,,,,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:71:10,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;25 Stations, 26 Stations, 29 Stations, 28 Stations, 30 Stations, 31 Stations, 33 Stations, 37 Stations, 35 Stations, 40 Stations, 39 Stations, 38 Stations, 36 Stations, 32 Stations, 27 Stations;en0
eduroam,1c:28:af:65:f5:d0,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;33 Stations, 34 Stations, 32 Stations, 31 Stations, 29 Stations, 30 Stations, 28 Stations, 27 Stations, 23 Stations, 16 Stations, 14 Stations, 12 Stations, 13 Stations, 11 Stations, 10 Stations;en0
eduroam,1c:28:af:66:28:00,,-64 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;3 Stations, 2 Stations, 1 Stations, 4 Stations;en0,,,,,,,,,,,
eduroam,1c:28:af:66:75:60,,-68 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 2 Stations, 3 Stations, 4 Stations;en0,,,,,,,,,,,
eduroam,1c:28:af:66:28:10,,-62 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 1 Stations, 3 Stations, 4 Stations, 5 Stations;en0,,,,,,
eduroam,1c:28:af:65:fe:00,,-65 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 3 Stations, 4 Stations, 5 Stations, 7 Stations;en0,,,,,,,,,,
eduroam,1c:28:af:66:2a:a0,,-56 dBm,WEP,,,,,,,,,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;5 Stations, 4 Stations, 6 Stations, 3 Stations, 2 Stations, 1 Stations;en0,,,,,,,,
eduroam,1c:28:af:65:f5:c0,,-73 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;6 Stations, 5 Stations, 7 Stations, 8 Stations, 4 Stations, 3 Stations, 2 Stations, 1 Stations;en0,,,,,,,
eduroam,1c:28:af:65:e9:40,,-60 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 1 Stations, 3 Stations, 4 Stations, 5 Stations;en0,,,,,,,,,,
eduroam,1c:28:af:66:11:d0,,-72 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 0 Stations, 2 Stations, 3 Stations;en0,,,,,,,
eduroam,1c:28:af:66:50:00,,-64 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 2 Stations, 3 Stations, 5 Stations, 0 Stations;en0,,,,,,,,,,
eduroam,1c:28:af:66:4c:c0,,-64 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;4 Stations, 3 Stations, 5 Stations, 7 Stations, 6 Stations;en0,,,,,,,,,,
eduroam,1c:28:af:66:4c:d0,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;12 Stations, 11 Stations, 10 Stations, 9 Stations;en0,,,,,,,
eduroam,1c:28:af:66:75:70,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 0 Stations, 2 Stations, 3 Stations, 4 Stations;en0,,,,,,
eduroam,1c:28:af:5b:e5:50,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;11 Stations, 9 Stations, 8 Stations, 7 Stations, 5 Stations, 10 Stations;en0,,,,,,,,,
eduroam,1c:28:af:65:fe:10,,-71 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;2 Stations, 3 Stations, 4 Stations, 5 Stations, 6 Stations;en0,,,,,,
eduroam,1c:28:af:66:50:10,,-70 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;7 Stations, 8 Stations, 5 Stations, 3 Stations, 2 Stations, 4 Stations, 11 Stations;en0,,,,
