18/12/2023 13:08:12	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
18/12/2023 13:08:16	D0:4D:C6:F2:61:21	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:50:01	""	"tudelft-dastud"	""	""	-63	81	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 44% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:8C:30	""	"eduroam"	""	""	-87	22	"12"	"Ch 100 [5.500 GHz]"	""	"12 Stations, 3% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:EC:80	""	"eduroam"	""	""	-83	31	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 31% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	1C:28:AF:5B:E9:A2	""	"TUD-facility"	""	""	-70	67	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 31% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	1C:28:AF:5B:E9:B0	""	"eduroam"	""	""	-78	43	"14"	"Ch 56 [5.280 GHz]"	""	"14 Stations, 6% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:C8:71	""	"tudelft-dastud"	""	""	-85	26	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	1C:28:AF:5B:FC:90	""	"eduroam"	""	""	-85	26	"14"	"Ch 132 [5.660 GHz]"	""	"14 Stations, 14% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:50:12	""	"TUD-facility"	""	""	-70	67	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 11% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
18/12/2023 13:08:16	D0:4D:C6:F2:99:40	""	"eduroam"	""	""	-66	78	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 46% Channel Utilization"	"WiFi [Intel(R) Wi-Fi 6E AX211 160MHz]"
